,Date,hourly_open,hourly_high,hourly_low,hourly_close,hourly_vol,daily_open,daily_high,daily_low,daily_close,daily_vol,symbol,Label
0,2006-04-10,68.25,68.5,67.98,67.99,897500,68.25,68.5,67.67,68.02,3877900,USO,HIGHS
1,2006-04-11,68.32,68.39,67.95,68.04,269100,68.32,68.39,67.3,68.2,1297100,USO,HIGHS
2,2006-04-12,68.22,68.36,68.15,68.3,156600,68.22,68.81,67.81,67.84,1248300,USO,NONE
3,2006-04-13,67.5,67.72,67.45,67.49,49400,67.5,68.99,67.4,68.82,560700,USO,NONE
4,2006-04-17,69.2,69.21,68.68,68.85,194900,69.2,69.9,68.68,69.79,917700,USO,LOWS
5,2006-04-18,70.1,70.15,69.75,70.07,330600,70.1,71.05,69.57,70.75,922700,USO,NONE
6,2006-04-19,70.58,70.89,70.49,70.79,79800,70.58,72.16,70.49,71.85,789800,USO,LOWS
7,2006-04-20,71.92,71.92,71.12,71.51,109000,71.92,72.16,70.51,71.09,843200,USO,NONE
8,2006-04-21,70.89,71.34,70.8,70.97,216000,70.89,73.23,70.8,72.81,1073600,USO,LOWS
9,2006-04-24,71.4,72.45,71.4,71.92,193700,71.4,72.45,70.79,71.01,1042800,USO,HIGHS
10,2006-04-25,71.68,71.81,70.95,71.1,453500,71.68,71.81,69.62,70.64,2853900,USO,HIGHS
11,2006-04-26,70.44,70.77,70.34,70.7,65400,70.44,70.85,69.45,69.54,899200,USO,NONE
12,2006-04-27,69.1,69.42,68.85,69.35,223300,69.1,69.58,68.57,68.7,635600,USO,NONE
13,2006-04-28,69.24,69.72,69.12,69.2,361700,69.26,70.5,68.99,69.62,868100,USO,NONE
14,2006-05-01,70.15,70.37,70.0,70.23,155400,70.15,71.65,70.0,71.5,555500,USO,LOWS
15,2006-05-02,71.84,72.16,71.55,71.94,187900,71.84,72.69,71.34,72.34,871000,USO,NONE
16,2006-05-03,72.48,72.48,72.07,72.09,143400,72.48,72.48,70.0,70.22,1015000,USO,HIGHS
17,2006-05-04,69.37,69.48,69.1,69.45,191700,69.37,69.77,67.28,68.32,1557500,USO,NONE
18,2006-05-05,68.3,68.3,67.75,67.86,156900,68.3,68.47,67.68,68.0,673700,USO,NONE
19,2006-05-08,67.13,67.23,66.3,66.67,621400,67.13,67.99,66.3,67.88,1312300,USO,LOWS
20,2006-05-09,67.99,68.3,67.76,68.27,207800,67.99,69.18,67.76,68.4,783000,USO,LOWS
21,2006-05-10,68.32,68.32,68.11,68.16,77700,68.32,69.77,67.48,69.77,704500,USO,NONE
22,2006-05-11,71.0,71.05,70.69,71.0,225000,71.0,71.05,69.92,70.3,1035500,USO,HIGHS
23,2006-05-12,70.44,70.44,70.0,70.05,169800,70.44,70.44,69.04,69.11,607600,USO,HIGHS
24,2006-05-15,67.47,67.63,67.32,67.62,197000,67.47,67.77,66.45,66.63,669900,USO,NONE
25,2006-05-16,67.07,67.18,66.7,66.7,101600,67.07,67.9,66.31,66.7,802000,USO,NONE
26,2006-05-17,66.67,66.75,66.19,66.31,91000,66.67,66.75,65.39,65.7,822700,USO,HIGHS
27,2006-05-18,65.68,65.84,65.26,65.42,77400,65.68,66.79,65.1,66.74,656700,USO,NONE
28,2006-05-19,66.0,66.06,65.4,65.58,179900,66.0,66.46,65.15,65.57,812100,USO,NONE
29,2006-05-22,64.89,65.45,64.89,65.45,129200,64.89,66.57,64.89,66.28,769700,USO,LOWS
30,2006-05-23,67.25,67.8,67.21,67.52,232300,67.25,68.42,67.21,67.77,630900,USO,LOWS
31,2006-05-24,67.21,67.39,67.05,67.35,69700,67.21,67.93,66.05,66.1,400700,USO,NONE
32,2006-05-25,66.68,67.0,66.65,66.84,103300,66.68,67.88,66.31,67.8,300300,USO,NONE
33,2006-05-26,67.46,67.87,67.33,67.8,55000,67.46,68.23,67.33,67.75,269500,USO,LOWS
34,2006-05-30,68.72,68.88,68.55,68.6,93500,68.72,69.08,68.22,68.32,489400,USO,NONE
35,2006-05-31,67.85,67.91,66.88,66.92,79200,67.64,67.91,66.58,67.73,471700,USO,HIGHS
36,2006-06-01,66.84,66.84,66.51,66.75,189400,66.84,68.25,66.51,66.82,922800,USO,LOWS
37,2006-06-02,67.76,68.1,67.55,67.78,91500,67.76,69.15,67.55,68.9,443500,USO,LOWS
38,2006-06-05,69.69,69.78,69.29,69.5,103400,69.69,69.78,68.44,68.74,393200,USO,HIGHS
39,2006-06-06,68.09,68.25,67.9,68.22,49700,68.09,68.95,67.8,68.76,179800,USO,NONE
40,2006-06-07,68.27,68.33,68.12,68.12,92400,68.27,68.33,67.01,67.28,360000,USO,HIGHS
41,2006-06-08,66.62,66.62,66.07,66.11,62700,66.53,67.12,65.81,67.12,308300,USO,NONE
42,2006-06-09,67.5,68.0,67.5,67.67,42300,67.5,68.2,67.5,68.07,342000,USO,LOWS
43,2006-06-12,68.39,68.39,68.19,68.21,40100,68.39,68.39,66.86,67.08,213200,USO,HIGHS
44,2006-06-13,66.02,66.05,65.63,65.93,104100,65.94,66.23,65.13,65.18,602700,USO,NONE
45,2006-06-14,65.51,65.7,65.41,65.45,25400,65.51,65.91,65.0,65.79,333400,USO,NONE
46,2006-06-15,66.35,66.35,66.0,66.0,64400,66.35,66.52,65.95,66.16,308700,USO,NONE
47,2006-06-16,65.97,65.97,65.56,65.96,26700,65.97,66.47,65.25,66.25,218700,USO,NONE
48,2006-06-19,65.91,65.91,65.43,65.43,40900,65.82,65.86,64.99,65.54,188000,USO,NONE
49,2006-06-20,65.91,66.2,65.83,66.13,72000,65.91,66.2,64.92,65.29,216400,USO,HIGHS
50,2006-06-21,65.34,65.5,65.19,65.32,35900,65.34,66.73,65.03,66.35,240800,USO,NONE
51,2006-06-22,66.69,66.71,66.37,66.47,93600,66.69,67.03,66.19,67.0,237400,USO,NONE
52,2006-06-23,66.43,66.88,66.37,66.88,45300,66.43,67.21,66.37,66.89,119100,USO,LOWS
53,2006-06-26,66.67,66.77,66.58,66.69,42100,66.67,67.85,66.5,67.7,184000,USO,NONE
54,2006-06-27,68.13,68.38,68.11,68.3,218100,68.13,68.42,67.63,68.08,347400,USO,NONE
55,2006-06-28,67.97,68.25,67.97,68.25,46100,67.97,68.72,67.59,68.31,240300,USO,NONE
56,2006-06-29,68.36,68.8,68.31,68.78,85200,68.35,69.59,68.31,69.51,479000,USO,LOWS
57,2006-06-30,69.51,69.76,69.43,69.68,32000,69.51,70.02,69.43,69.77,259400,USO,LOWS
58,2006-07-03,70.21,70.21,70.0,70.14,38000,70.21,70.37,69.93,69.93,168100,USO,NONE
59,2006-07-05,69.89,70.04,69.78,69.94,50300,69.89,71.15,69.78,71.0,496400,USO,LOWS
60,2006-07-06,70.8,70.8,70.62,70.72,42700,70.8,71.1,70.2,70.77,337000,USO,NONE
61,2006-07-07,71.43,71.5,71.13,71.16,97100,71.43,71.5,69.77,69.85,415300,USO,HIGHS
62,2006-07-10,69.54,69.85,69.42,69.63,32600,69.57,69.85,67.64,69.56,196600,USO,HIGHS
63,2006-07-11,70.31,70.5,70.13,70.26,38200,70.31,70.6,69.99,70.08,237700,USO,NONE
64,2006-07-12,70.4,70.4,70.17,70.17,39400,70.4,71.14,69.86,71.14,631300,USO,NONE
65,2006-07-13,71.75,72.51,71.75,72.44,625100,71.75,73.29,71.75,73.25,1626000,USO,LOWS
66,2006-07-14,74.0,74.6,73.58,73.88,678200,74.15,74.6,73.17,73.22,1658400,USO,HIGHS
67,2006-07-17,72.73,73.21,72.64,73.05,301400,72.73,73.21,71.52,71.65,1007900,USO,HIGHS
68,2006-07-18,72.45,72.7,72.37,72.55,246300,72.45,72.88,70.13,70.75,1060000,USO,NONE
69,2006-07-19,70.25,70.39,70.15,70.33,231000,70.25,70.52,68.66,69.85,876500,USO,NONE
70,2006-07-20,70.15,70.35,69.58,69.64,132100,70.15,70.35,68.85,69.1,568700,USO,HIGHS
71,2006-07-21,69.77,70.17,69.6,70.08,89200,69.73,70.2,69.02,69.52,504200,USO,NONE
72,2006-07-24,69.0,69.2,68.86,68.98,94800,69.0,70.18,68.7,70.17,394100,USO,NONE
