,Date,hourly_open,hourly_high,hourly_low,hourly_close,hourly_vol,daily_open,daily_high,daily_low,daily_close,daily_vol,symbol,Label,previous_day
0,2000-01-03,95.81,95.81,92.75,93.63,10689400,95.81,95.81,89.63,94.38,36368600.0,QQQ,HIGHS,NONE
1,2000-01-04,91.63,93.1,91.44,92.94,6502600,91.63,93.13,87.63,87.63,33778600.0,QQQ,NONE,HIGHS
2,2000-01-05,86.63,87.0,83.88,85.38,10065000,87.13,89.66,83.88,85.5,42428600.0,QQQ,LOWS,NONE
3,2000-01-06,86.5,87.38,84.5,85.0,9522400,86.5,87.63,79.38,79.72,37135000.0,QQQ,NONE,LOWS
4,2000-01-07,82.56,85.63,82.38,85.25,6834600,82.56,89.63,82.13,89.63,28134000.0,QQQ,NONE,NONE
5,2000-01-10,90.63,91.63,90.5,90.69,7664800,90.63,93.56,89.56,92.31,29675200.0,QQQ,NONE,NONE
6,2000-01-11,91.38,92.5,91.19,91.5,5156000,91.38,92.5,86.63,87.5,32544000.0,QQQ,HIGHS,NONE
7,2000-01-12,88.63,88.87,85.63,85.94,5514400,88.63,88.87,85.69,85.69,29050000.0,QQQ,HIGHS,HIGHS
8,2000-01-13,88.13,88.88,86.7,87.63,6796800,88.13,91.13,86.7,90.88,25169000.0,QQQ,LOWS,HIGHS
9,2000-01-14,92.38,93.0,91.88,93.0,6588800,92.63,93.25,91.63,93.0,21898600.0,QQQ,NONE,LOWS
10,2000-01-18,91.69,92.67,91.06,92.53,4127800,91.69,94.06,91.06,93.5,16752400.0,QQQ,LOWS,NONE
11,2000-01-19,92.91,93.5,92.06,93.5,6051200,93.12,95.63,92.0,95.63,19005200.0,QQQ,NONE,LOWS
12,2000-01-20,95.13,96.22,95.13,95.88,4938600,95.13,96.5,93.63,95.13,25955600.0,QQQ,NONE,NONE
13,2000-01-21,96.13,96.19,94.69,95.03,4888400,96.13,96.19,94.63,95.88,18696200.0,QQQ,HIGHS,NONE
14,2000-01-24,97.06,97.25,96.0,96.22,4784800,97.06,97.25,90.6,91.63,28344200.0,QQQ,HIGHS,HIGHS
15,2000-01-25,91.5,92.13,89.03,91.5,9727600,91.5,93.74,89.03,92.63,33276200.0,QQQ,LOWS,HIGHS
16,2000-01-26,92.88,92.94,91.88,92.38,3631000,92.88,92.94,88.63,89.13,23094800.0,QQQ,HIGHS,LOWS
17,2000-01-27,91.38,91.88,90.81,91.44,5788200,91.38,92.13,87.25,90.0,30741200.0,QQQ,NONE,HIGHS
18,2000-01-28,89.13,90.1,87.75,89.44,6119800,89.63,90.1,84.38,85.63,35313800.0,QQQ,HIGHS,NONE
19,2000-01-31,85.5,86.85,84.75,86.06,6275000,85.5,89.63,83.13,89.56,36013600.0,QQQ,NONE,HIGHS
20,2000-02-01,89.16,90.06,88.06,88.92,5359400,89.16,92.13,88.06,92.13,26416600.0,QQQ,LOWS,NONE
21,2000-02-02,91.88,92.74,91.72,91.88,4919600,91.88,94.35,91.67,92.5,26194200.0,QQQ,NONE,LOWS
22,2000-02-03,94.0,94.63,93.56,94.06,5524400,93.94,96.22,91.91,96.13,30580000.0,QQQ,NONE,NONE
23,2000-02-04,96.63,97.63,96.38,96.91,6084200,96.63,97.87,95.85,96.53,26639400.0,QQQ,NONE,NONE
24,2000-02-07,96.88,97.22,95.88,97.22,4197400,96.88,98.25,95.88,98.25,17760600.0,QQQ,LOWS,NONE
25,2000-02-08,99.0,100.13,99.0,99.95,6841400,99.0,102.5,99.0,102.25,22000200.0,QQQ,LOWS,LOWS
26,2000-02-09,101.69,101.82,100.63,101.5,6530000,101.69,101.82,98.25,98.63,27294400.0,QQQ,HIGHS,LOWS
27,2000-02-10,99.44,99.85,98.18,99.69,6892800,99.44,101.88,98.18,101.88,26346600.0,QQQ,LOWS,HIGHS
28,2000-02-11,101.69,101.69,99.69,100.1,3823200,101.69,101.69,97.63,98.81,24875800.0,QQQ,HIGHS,LOWS
29,2000-02-14,99.56,99.63,97.5,97.75,4899800,99.62,99.63,97.38,99.38,22814600.0,QQQ,HIGHS,HIGHS
30,2000-02-15,98.56,99.0,96.88,97.44,5232800,98.56,100.25,95.5,100.1,30572800.0,QQQ,NONE,HIGHS
31,2000-02-16,99.53,100.56,99.0,100.22,5835600,99.53,101.38,98.94,99.53,25310400.0,QQQ,NONE,NONE
32,2000-02-17,100.81,101.13,99.25,100.63,7331600,100.81,102.88,99.25,101.75,30085200.0,QQQ,LOWS,NONE
